Actiniu	Ac
Aluminiu	Al
Americiu	Am
Argint	Ag
Argon	Ar
Arsen	As
Astatin	At
Aur	Au
Azot	N
Bariu	Ba
Beriliu	Be
Berkeliu	Bk
Bismut	Bi
Bor	B
Bohriu	Bh
Brom	Br
Cadmiu	Cd
Calciu	Ca
Californiu	Cf
Carbon	C
Ceriu	Ce
Cesiu	Cs
Clor	Cl
Cobalt	Co
Coperniciu	Cn
Crom	Cr
Cupru	Cu
Curiu	Cm
Darmstadtiu	Ds
Disprosiu	Dy
Dubniu	Db
Einsteiniu	Es
Erbiu	Er
Europiu	Eu
Fermiu	Fm
Fier	Fe
Fleroviu	Fl
Fluor	F
Fosfor	P
Franciu	Fr
Gadoliniu	Gd
Galiu	Ga
Germaniu	Ge
Hafniu	Hf
Hassiu	Hs
Heliu	He
Hidrogen	H
Holmiu	Ho
Indiu	In
Iod	I
Iridiu	Ir
Kripton	Kr
Lantan	La
Lawrenciu	Lr
Litiu	Li
Livermoniu	Lv
Lutetiu	Lu
Magneziu	Mg
Mangan	Mn
Meitneriu	Mt
Mendeleviu	Md
Mercur	Hg
Molibden	Mo
Moscoviu	Mc
Neodim	Nd
Neon	Ne
Neptuniu	Np
Nichel	Ni
Nihoniu	Nh
Niobiu	Nb
Nobeliu	No
Oganesson	Og
Osmiu	Os
Oxigen	O
Paladiu	Pd
Platina	Pt
Plumb	Pb
Plutoniu	Pu
Poloniu	Po
Potasiu	K
Praseodim	Pr
Prometiu	Pm
Protactiniu	Pa
Radiu	Ra
Radon	Rn
Reniu	Re
Rodiu	Rh
Roentgeniu	Rg
Rubidiu	Rb
Ruteniu	Ru
Rutherfordiu	Rf
Samariu	Sm
Scandiu	Sc
Seaborgiu	Sg
Seleniu	Se
Siliciu	Si
Sodiu	Na
Staniu	Sn
Stibiu	Sb
Strontiu	Sr
Sulf	S
Taliu	Tl
Tantal	Ta
Technetiu	Tc
Telur	Te
Tennessine	Ts
Terbiu	Tb
Titan	Ti
Thoriu	Th
Tuliu	Tm
Unbinilium	Ubn
Ununenniu	Uue
Uraniu	U
Vanadiu	V
Wolfram	W
Xenon	Xe
Yterbiu	Yb
Ytriu	Y
Zinc	Zn
Zirconiu	Zr
